ekran_boyutu,ekran_kartı.1,Ekran Kartı Bellek Tipi.1,ekran_kartı_hafızası_1,ekran_karı_tipi_1,ekran_yenileme_hızı_1,marka,hard_disk_kapasitesi,klavye,kullanım_amacı,ram_sistem_bellegi_1,ram_tipi_1,renk,ssd_kapasitesi,cozunurluk_1,cozunurluk_standartı_1,islemci_modeli_1,islemci_nesli_1,islemci_tipi_1,islemci_cekirdek_sayisi_1,isletim_sistemi_1,url,prices
"15,6",Intel Iris Graphics,DDR4,Paylaşımlı,Dahili,Belirtilmemiş,HP,Yok,Q Türkçe,Ev - Okul,8 GB,DDR4,Sarı,512 GB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Free Dos,https://www.trendyol.com//hp/15s-fq2028nti-intel-core-i5-1135g7-8gb-512gb-ssd-15-6-fhd-tasinabilir-bilgisayar-2n2m9ea-p-121941059?boutiqueId=61&merchantId=154426,13.599
"15,6",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,ACER,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,32 GB,DDR5,Siyah,1 TB,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,https://www.trendyol.com//acer/an515-58-intel-core-i7-12700h-32gb-1tb-ssd-rtx4060-8gb-dos-15-6-fhd-165hz-gaming-laptop-p-743152344?boutiqueId=61&merchantId=727717,44.999
14,Intel UHD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,HP,HDD Yok,Q Türkçe,Ofis - İş,32 GB,DDR4,Gri,2 TB,1920 x 1080,Full HD (FHD),1215U,12. Nesil,Intel Core i3,6,Free Dos,https://www.trendyol.com//hp/240-g9-intel-core-i3-1215u-32-gb-2-tb-fdos-14-fhd-6q8l7es-p-662767047?boutiqueId=61&merchantId=668896,19.42
"15,6",Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,60 Hz,Asus,HDD Yok,Q Türkçe (Aydınlatmalı),Ofis - İş,16 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),1235U,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//asus/expertbook-b1500cba-bq1869-intel-i5-1235u-16gb-ddr4-512gb-ssd-15-6-fhd-freedos-p-739393353?boutiqueId=61&merchantId=118814,16.93
"16,1",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,HP,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,16 GB,DDR5,Gri,1 TB,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//hp/victus-16-s0053nt-ryzen-7-7840hs-16gb-1tb-ssd-6gb-rtx-4050-144hz-16-1-fdos-laptop-892q1ea-p-745991257?boutiqueId=61&merchantId=109318,34.399
"15,6",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,Monster,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,16 GB,DDR4,Siyah,500 GB,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Free Dos,https://www.trendyol.com//monster/abra-a5-v17-3-5-intel-core-i7-11800h-16gb-ram-500-gb-ssd-rtx-3050-ti-freedos-15-6-inc-fhd-144-hz-p-674247698?boutiqueId=61&merchantId=105286,28.799
"15,6",Intel XE Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Casper,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,8 GB,DDR4,Gri,500 GB,1920 x 1080,Full HD (FHD),1155G7,11. Nesil,Intel Core i5,4,Free Dos,https://www.trendyol.com//casper/nirvana-x600-1155-8v00x-g-f-intel-core-i5-1155g7-8-gb-ram-500gb-nvme-ssd-gen4-freedos-p-761308480?boutiqueId=623361&merchantId=968,12.999
17,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,240 Hz,Monster,HDD Yok,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,64 GB,DDR5,Siyah,2 TB,2560 x 1600,QHD+,13950HX,13. Nesil,Intel Core i9,24,Free Dos,https://www.trendyol.com//monster/semruk-s7-v9-2-2-intel-core-i9-13950hx-64-gb-ram-2-tb-ssd-8-gb-rtx-4070-freedos-17-qhd-240-hz-p-759339504?boutiqueId=61&merchantId=105286,97.899
13,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,120 Hz,Microsoft Garantili,HDD Yok,Q İngilizce,Ofis - İş,16 GB,LPDDR5,Gri,1 TB,2880 x 1800,QHD,1255U,12. Nesil,Intel Core i7,10,Windows,https://www.trendyol.com//microsoft/surface-pro-9-qki-00008-intel-i7-1255u-13-touch-16gb-1-tb-ssd-win11h-gri-1-yil-garanti-p-685645371?boutiqueId=61&merchantId=112804,89.32
"15,6",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,Asus,HDD Yok,RGB Türkçe,Oyun,16 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),4800H,4. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//asus/rog-strix-g15-g513ie-hn065-ryzen7-4800h-16gb-512ssd-rtx3050ti-15-6-fullhd-freedos-tasinabilir-p-340612238?boutiqueId=61&merchantId=820455,42.999
"15,6",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,HP,HDD Yok,Q Türkçe,Oyun,32 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Windows,https://www.trendyol.com//hp/victus-15-fa1028nt-i7-13700h-32gb-1tb-ssd-rtx3050-6gb-w11p15-6-144hz-fhd-7n9v0ea-p-674179098?boutiqueId=61&merchantId=668896,36.671
18,Nvidia GeForce MX450,Dahili,2 GB,Harici,90 Hz,ACER,500 GB,Q Türkçe + Numerik (Aydınlatmalı),Ev - Okul,36 GB,LPDDR3,Gümüş,32 GB,4480 x 2520,Ultra HD 4K (UHD),4800HS,5. Nesil,MediaTek P60T,10,Windows,https://www.trendyol.com//hp/240-g10-8a556ea-i7-1355-14-16g-512ssd-dos-p-780329467?boutiqueId=61&merchantId=105378,24.769
"16,1",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,HP,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,8 GB,DDR5,Gümüş,512 GB,1920 x 1080,Full HD (FHD),6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,https://www.trendyol.com//hp/victus-16-e1011nt-amd-ryzen-5-6600h-8gb-512gb-rtx3050ti-16-1-fhd-144hz-dos-68s27ea-p-752684631?boutiqueId=623361&merchantId=968,24.999
"17,3",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,MSI,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,64 GB,DDR5,Siyah,1 TB,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Windows,https://www.trendyol.com//msi/katana-17-b12vgk-401xtr-i7-12650h-32gb-ddr5-rtx4070-gddr6-8gb-1tb-ssd-17-3-fhd-144hz-dos-p-661530112?boutiqueId=61&merchantId=105013,71.199
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,ACER,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,8 GB,DDR5,Siyah,512 GB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,12,Free Dos,https://www.trendyol.com//acer/nitro-5-an515-58-core-i5-12450h-8gb-512gb-ssd-rtx-4050-freedos-15-6-fhd-notebook-nh-qlzey-007-p-779034907?boutiqueId=61&merchantId=203702,28.49
"15,6",Nvidia GeForce RTX 3050,GDDR6,4 GB,Dahili,144 Hz,Asus,HDD Yok,Q Türkçe,Oyun,16 GB,DDR4,Kırmızı,512 GB,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,6,Free Dos,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4-hn009-i7-12700h-16gb-ram-512gb-ssd-4gb-rtx3050-15-6-inc-fhd-144hz-p-665171839?boutiqueId=61&merchantId=820455,35.521
"13,3",Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,Asus,512 GB,Q Türkçe,Ofis - İş,8 GB,LPDDR4,Gri,512 GB,1920 x 1080,Full HD (FHD),1135G7,10. Nesil,Intel Core i5,4,Windows,https://www.trendyol.com//asus/ux325ea-kg653-oled-zenbook-core-i5-1135g7-8gb-ram-512gb-ssd-13-3-win-11-home-laptop-gri-p-232970007?boutiqueId=61&merchantId=846369,29.814
13,M2 8 Çekirdekli,DDR4,Paylaşımlı,Dahili,Belirtilmemiş,Apple,HDD Yok,Q Türkçe,Ofis - İş,16 GB,DDR4,Mavi,256 GB,2560 x 1600,Retina,Belirtilmemiş,Belirtilmemiş,M2,8,Mac Os,https://www.trendyol.com//apple/z16000102-m2-islemci-16gb-ram-256gb-ssd-13-macbook-air-midnight-p-443835017?boutiqueId=61&merchantId=125540,44.239
16,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,120 Hz,Asus,HDD Yok,Q Türkçe (Aydınlatmasız),Oyun,16 GB,DDR4,Gümüş,1 TB,1920 x 1200,WUXGA,13500H,13. Nesil,Intel Core i5,12,Free Dos,https://www.trendyol.com//asus/vivobook-16x-k3605vu-n1166-i5-13500h-16gb-1tb-ssd-6gb-geforce-rtx-4050-16-0-wuxga-freedos-p-778507440?boutiqueId=61&merchantId=104683,34.999
"15,6",Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,60 Hz,HP,HDD Yok,Q Türkçe,Ofis - İş,8 GB,Belirtilmemiş,Çok Renkli,512 GB,1920 x 1080,Full HD (FHD),1235U,12. Nesil,Intel Core i5,10,Free Dos,https://www.trendyol.com//hp/250-g9-6q8m5es-i5-1235u-8gb-512ssd-15-6-full-hd-fdos-notebook-p-353583132?boutiqueId=61&merchantId=109239,15.299
18,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,240 Hz,Asus,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,16 GB,DDR5,Gri,1 TB,2560 x 1600,QHD+,13980HX,13. Nesil,Intel Core i9,24,Free Dos,https://www.trendyol.com//asus/rog-strix-g18-g814ji-n6141-intel-i9-13980hx-16gb-ddr5-1tb-pcie-ssd-8gb-rtx4070-18-qhd-240hz-fdos-p-738003742?boutiqueId=61&merchantId=105919,73.449
14,Intel HD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,Dell,1 TB,Q Türkçe (Aydınlatmalı),Ev - Okul,4 GB,DDR4,Siyah,SSD Yok,1366 x 768,HD Ready (HD),1115G4,11. Nesil,Intel Core i3,2,Free Dos,https://www.trendyol.com//dell/vostro-3400-intel-core-i3-1115g4-4gb-1tb-hdd-ubuntu-14-hd-tasinabilir-bilgisayar-p-748043848?boutiqueId=61&merchantId=144234,8.499
"17,3",Nvidia GeForce RTX 3070Ti,GDDR6,8 GB,Harici,144 Hz,ACER,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,16 GB,DDR5,Siyah,512 GB,1920 x 1080,Full HD (FHD),6800H,6. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//acer/nitro-5-an517-42-r7-6800h-16gb-512gb-ssd-rtx3070ti-dos-17-3-fhd-144-hz-notebook-nh-qgley-002-p-717906949?boutiqueId=61&merchantId=361546,45.54
"15,6",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,Monster,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,16 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,https://www.trendyol.com//monster/tulpar-t5-v23-3-4-intel-core-i5-12450h-16-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-15-6-fhd-144-hz-p-762943119?boutiqueId=61&merchantId=105286,34.199
16,Nvidia GeForce RTX 4070,GDDR6X,8 GB,Harici,165 Hz,Casper,HDD Yok,RGB Türkçe,Oyun,64 GB,DDR5,Gri,2 TB,2560 x 1600,WQHD,13900HX,13. Nesil,Intel Core i9,24,Free Dos,https://www.trendyol.com//casper/excalibur-g911-1390-ex70x-c-intel-core-i9-13900hx-64gb-ddr5-ram-2tb-nvme-ssd-8gb-rtx4070-freedos-p-672175511?boutiqueId=61&merchantId=114258,66.099
16,M3,Dahili,Paylaşımlı,Dahili,120 Hz,Apple,HDD Yok,Q Türkçe (Aydınlatmalı),Ofis - İş,36 GB,Birleşik Bellek,Siyah,512 GB,3024 x 1964,Retina,M3,3. Nesil,Apple M3,12,Mac Os,https://www.trendyol.com//apple/macbook-pro-m3-16-uzay-siyah-36gb-512gb-ssd-mrw23tu-a-p-777662374?boutiqueId=61&merchantId=104683,107.999
14,Nvidia GeForce MX330,GDDR5,2 GB,Harici,Belirtilmemiş,Dell,HDD Yok,Q Türkçe,Ofis - İş,16 GB,DDR4,Gri,512 GB,1366 x 768,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Free Dos,https://www.trendyol.com//dell/dell-vostro-3400-core-i5-1135g7-16-gb-512-gb-ssd-2gb-mx330-freedos-14-n4030vn3400emeabt12-p-665658233?boutiqueId=61&merchantId=107092,14.132
"16,1",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,HP,HDD Yok,Q Türkçe (Aydınlatmasız),Oyun,32 GB,DDR5,Siyah,1 TB,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//hp/victus-16-s0046nt-892p4ea-amd-ryzen-7-7840hs-32gb-ram-1tb-ssd-geforce-rtx-4060-16-1-fhd-dos-144hz-p-759063449?boutiqueId=61&merchantId=467452,40.999
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,ACER,HDD Yok,Q Türkçe,Oyun,16 GB,DDR5,Siyah,512 GB,1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,10,Free Dos,https://www.trendyol.com//acer/nitro-v-15-core-i7-13620h-16gb-512gb-ssd-rtx-4050-freedos-15-6-fhd-notebook-nh-qnbey-005-165-p-784195255?boutiqueId=61&merchantId=107007,33.199
"15,6",Intel UHD Graphics,DDR4,Paylaşımlı,Dahili,60 Hz,Asus,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,8 GB,DDR4,Gümüş,512 GB,1920 x 1080,Full HD (FHD),1215U,12. Nesil,Intel Core i3,6,Free Dos,https://www.trendyol.com//asus/vivobook-15-x1504za-bq450-i3-1215u-8gb-512gb-ssd-15-6-fhd-fdos-tasinabilir-dizustu-bilgisayar-p-769232449?boutiqueId=61&merchantId=104683,10.999
13,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,Apple,256 GB,Q Türkçe,Ev - Okul,16 GB,Belirtilmemiş,Gri,256 GB,2560 x 1600,Retina,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,https://www.trendyol.com//apple/macbook-air-13-m1-16gb-256gb-ssd-uzay-grisi-dizustu-bilgisayar-p-661734426?boutiqueId=61&merchantId=309507,37.149
18,Nvidia GeForce MX450,Dahili,2 GB,Harici,90 Hz,ACER,500 GB,Q Türkçe + Numerik (Aydınlatmalı),Ev - Okul,36 GB,LPDDR3,Gümüş,32 GB,4480 x 2520,Ultra HD 4K (UHD),4800HS,5. Nesil,MediaTek P60T,10,Windows,https://www.trendyol.com//hp/240-g10-8a557ea-i7-1360p-14-16g-1tbssd-dos-p-780329515?boutiqueId=61&merchantId=105378,28.119
"17,3",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,MSI,HDD Yok,Q Türkçe + Numerik (Aydınlatmalı),Oyun,32 GB,DDR5,Siyah,1 TB,1920 x 1080,Full HD (FHD),13900H,13. Nesil,Intel Core i9,14,Windows,https://www.trendyol.com//msi/katana-17-b13vfk-1018tr-i9-32gb-ddr5-1tb-ssd-rtx4060-8gb-144hz-fhd-w11-home-gaming-laptop-p-784564380?boutiqueId=61&merchantId=118442,63.899
"15,6",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,Monster,HDD Yok,Q Türkçe (Aydınlatmalı),Oyun,32 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Windows,https://www.trendyol.com//monster/abra-a5-v17-3-3-intel-core-i7-11800h-32gb-1tb-ssd-rtx3050ti-windows-11-15-6-fhd-p-134421217?boutiqueId=61&merchantId=105286,31.499
"15,6",Nvidia GeForce GTX1650 Ti,GDDR6,,Dahili,,Lenovo Garantili,,Aydınlatmalı,Oyun,8 GB,,,512 GB,1920 x 1080,Full HD (FHD),10300H,,Intel Core i5,,Windows,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i5-10300h-8gb-512gb-ssd-gtx1650-ti-15-6-windows-10-laptop-81y400xptx-p-94098148?boutiqueId=61&merchantId=386464,27.9
"15,6",Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,Casper,HDD Yok,Q Türkçe,Ofis - İş,8 GB,DDR4,Gri,500 GB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Windows,https://www.trendyol.com//casper/nirvana-intel-core-i5-1135g7-8gb-500gb-ssd-15-6-fhd-win11-dizustu-bilgisayar-casper-turkiye-garanti-p-302610170?boutiqueId=61&merchantId=732265,15.849
"16,1",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,HP,HDD Yok,Q Türkçe (Aydınlatmasız),Oyun,16 GB,DDR5,Siyah,1 TB,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,https://www.trendyol.com//hp/victus-16-r0072nt-8w8a4ea-i7-13700h-16gb-ram-1tb-ssd-8gb-geforce-rtx-4070-16-1-inc-fhd-freedos-p-764911686?boutiqueId=61&merchantId=118442,45.869
14,Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,HP,HDD Yok,Q Türkçe,Ev - Okul,8 GB,DDR4,Gri,512 GB,1920 x 1080,Full HD (FHD),1235U,12. Nesil,Intel Core i5,10,Free Dos,https://www.trendyol.com//hp/elitebook-640-g9-6s6y1ea-intel-core-i5-1235u-8gb-512gb-ssd-14-fullhd-freedos-tasinabilir-bilgisa-p-364579493?boutiqueId=61&merchantId=207789,20.883
14,Intel UHD Graphics 600,DDR4,Paylaşımlı,Dahili,,Lenovo,,Q İngilizce,Ofis - İş,4 GB,,Gri,128 GB,1920 x 1080,Full HD (FHD),N4020,1. Nesil,Intel Celeron,2,Free Dos,https://www.trendyol.com//lenovo/v14-igl-intel-celeron-n4020-4gb-128gb-ssd-uhd-600-fdos-14-fhd-dizustu-bilgisayar-82c2001htx-p-69098463?boutiqueId=61&merchantId=409439,8.499
"17,3",Nvidia GeForce RTX 3080,GDDR6,8 GB,Dahili,360 Hz,ACER,HDD Yok,Q Türkçe,Oyun,32 GB,DDR4,Siyah,1 TB,1920 x 1080,Full HD (FHD),5800H,5. Nesil,AMD Ryzen 7,8,Free Dos,https://www.trendyol.com//acer/nitro-5-an517-41-amd-ryzen-7-5800h-32gb-1tb-sssd-rtx3080-360hz-17-3-fhd-freedos-nh-qbhey-001-p-142171886?boutiqueId=61&merchantId=298152,57.999
14,AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,Asus,512 GB,Q Türkçe,Ev - Okul,16 GB,LPDDR4X,Siyah,SSD Yok,2880 x 1800,FHD+,5625U,5. Nesil,AMD Ryzen 5,6,Windows,https://www.trendyol.com//asus/zenbook-14-oled-um3402-5-nesil-ryzen-5-5625u-16gb-512-ssd-14inc-w11-p-354123882?boutiqueId=61&merchantId=482979,33.999
14,Intel Iris Graphics,SD,Paylaşımlı,Dahili,60 Hz,Lenovo,HDD Yok,Q Türkçe (Aydınlatmalı),Ofis - İş,8 GB,DDR5,Gri,1 TB,1920 x 1200,WUXGA,Belirtilmemiş,12. Nesil,Intel Core i5,12,Windows,https://www.trendyol.com//lenovo/yoga-slim-6-82wu006ytx01-i5-1240p-8gb-1tbssd-14-fullhd-w11h-tasinabilir-bilgisayar-p-761559347?boutiqueId=61&merchantId=106664,29.064
14,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,HP,HDD Yok,Q Türkçe,Ofis - İş,32 GB,DDR4,Gri,2 TB,1920 x 1080,Full HD (FHD),1215U,12. Nesil,Intel Core i3,6,Free Dos,https://www.trendyol.com//hp/240-g9-intel-core-i3-1215u-32gb-2tb-ssd-14-fhd-fdos-tasinabilir-bilgisayar-6q8l7es-p-628227879?boutiqueId=61&merchantId=668896,19.42
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,ACER,HDD Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,8 GB,DDR5,Siyah,1 TB,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Free Dos,https://www.trendyol.com//acer/nitro-5-intel-core-i5-12500h-8gb-1tb-ssd-rtx-4050-6gb-15-6-144hz-dos-acer-turkiye-garantili-p-778155058?boutiqueId=61&merchantId=203702,29.999
"15,6",Nvidia GeForce RTX 3070,Belirtilmemiş,8 GB,Harici,144 Hz,ACER,HDD Yok,RGB Türkçe,Oyun,16 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Free Dos,https://www.trendyol.com//acer/nitro-5-an515-57-corei7-11800h-16gb-512gb-ssd-rtx-3070-8gb-fdos-15-6-notebook-nh-qfgey-002-p-343021074?boutiqueId=61&merchantId=673006,36.154
14,Intel UHD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,HP,HDD Yok,Q Türkçe,Ofis - İş,64 GB,DDR4,Gri,256 GB,1920 x 1080,Full HD (FHD),1215U,12. Nesil,Intel Core i3,6,Windows,https://www.trendyol.com//hp/240-g9-intel-core-i3-1215u-64-gb-512gb-w11pro-14-fhd-6q8l7es-p-662773804?boutiqueId=61&merchantId=668896,19.082
14,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,HP,HDD Yok,Q Türkçe,Ofis - İş,32 GB,DDR4,Gri,512 GB,1920 x 1280,Full HD (FHD),1215U,12. Nesil,Intel Core i3,6,Windows,https://www.trendyol.com//hp/240-g9-intel-core-i3-1215u-32gb-512gb-ssd-14-fhd-w11p-tasinabilir-bilgisayar-6q8l7es-p-636507842?boutiqueId=61&merchantId=668896,16.217
14,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,HP,HDD Yok,Q Türkçe,Ofis - İş,16 GB,DDR4,Gri,256 GB,1920 x 1280,Full HD (FHD),1215U,12. Nesil,Intel Core i3,6,Windows,https://www.trendyol.com//hp/240-g9-intel-core-i3-1215u-16gb-256-ssd-14-fhd-w11p-tasinabilir-bilgisayar-6q8l7es-p-636474589?boutiqueId=61&merchantId=668896,14.321
14,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,HP,HDD Yok,Q Türkçe,Ofis - İş,16 GB,DDR4,Gri,512 GB,1920 x 1080,Full HD (FHD),1215U,12. Nesil,Intel Core i3,6,Free Dos,https://www.trendyol.com//hp/240-g9-intel-core-i3-1215u-16gb-512gb-ssd-14-fhd-fdos-tasinabilir-bilgisayar-6q8l7es-p-631194584?boutiqueId=61&merchantId=668896,14.142
14,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,HP,HDD Yok,Q Türkçe,Ofis - İş,16 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),1215U,12. Nesil,Intel Core i3,6,Free Dos,https://www.trendyol.com//hp/240-g9-intel-core-i3-1215u-16gb-1tb-ssd-14-fhd-fdos-tasinabilir-bilgisayar-6q8l7es-p-627915395?boutiqueId=61&merchantId=668896,16.0
"15,6",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,120 Hz,Asus,HDD Yok,Q İngilizce,Tasarım,16 GB,DDR5,Siyah,1 TB,2880 x 1620,WQHD,1265U,12. Nesil,Intel Core i7,10,Windows,https://www.trendyol.com//asus/vivobook-pro-15x-oled-k6501zm-i7-12650h-15-6-16gb-1tb-rtx-3060-q-us-ing-klavye-1-yil-garanti-p-705110127?boutiqueId=61&merchantId=112804,44.95
"15,6",Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,60 Hz,MSI,HDD Yok,Q Türkçe (Aydınlatmalı),Ev - Okul,8 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),1235U,12. Nesil,Intel Core i5,10,Free Dos,https://www.trendyol.com//msi/modern-15-b12mo-624xtr-intel-core-i5-1235u-8gb-ddr4-512gb-ssd-uma-15-6-fhd-freedos-notebook-p-767805447?boutiqueId=61&merchantId=531617,17.299
"15,6",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,Casper,HDD Yok,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,32 GB,DDR4,Gri,1 TB,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,https://www.trendyol.com//casper/excalibur-g870-1265-dfa0x-b-intel-core-i7-12650h-32gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672157475?boutiqueId=623361&merchantId=968,35.999
14,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,ACER,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Siyah,512 GB,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,5,Free Dos,https://www.trendyol.com//asus/expertbook-b1400-14-i5-1135g7-16gb-512gb-freedos-b1400ceae-eb7004-p-755632449?boutiqueId=61&merchantId=365547,16.5
14,Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,Apple,HDD Yok,Q Türkçe,Ofis - İş,16 GB,Belirtilmemiş,Gri,512 GB,3024 x 1964,Retina,Belirtilmemiş,Belirtilmemiş,M2,Belirtilmemiş,Mac Os,https://www.trendyol.com//apple/macbook-pro-14-m2-pro-16gb-512gb-ssd-silver-laptop-apple-turkiye-garantili-mphh3tu-a-p-637235156?boutiqueId=61&merchantId=110963,66.899
14,Intel UHD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,Dell,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,8 GB,DDR4,Siyah,256 GB,1366 x 768,HD Ready (HD),1115G4,11. Nesil,Intel Core i3,2,Free Dos,https://www.trendyol.com//dell/vostro-3400-intel-core-i3-1115g4-8gb-256-gb-ssd-freedos-14-n4001vn3400ut031-p-783441316?boutiqueId=61&merchantId=499240,9.084
"15,6",Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,60 Hz,Asus,HDD Yok,Q Türkçe (Aydınlatmasız),Ofis - İş,16 GB,DDR4,Lacivert,1 TB,1920 x 1080,Full HD (FHD),1355U,13. Nesil,Intel Core i7,10,Free Dos,https://www.trendyol.com//asus/vivobook-15-i7-1355u-16gb-1tb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-x1504va-nj413t2-p-773184570?boutiqueId=61&merchantId=107204,25.499
